Title,Year,Duration,Certificate,Rating,Image URL
Your Name.,2016,1h 46m,N/A,8.4,"https://m.media-amazon.com/images/M/MV5BMjI1ODZkYTgtYTY3Yy00ZTJkLWFkOTgtZDUyYWM4MzQwNjk0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Das Boot,1981,2h 29m,N/A,8.3,"https://m.media-amazon.com/images/M/MV5BNGU0MWZlMTUtM2Y3Ny00NGNmLWE5NmEtN2YxOWQzMGM3ZWYzXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
Braveheart,1995,2h 58m,R,8.3,"https://m.media-amazon.com/images/M/MV5BNGMxZDBhNGQtYTZlNi00N2UzLWI4NDEtNmUzNWM2NTdmZDA0XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
Princess Mononoke,1997,2h 13m,PG-13,8.3,"https://m.media-amazon.com/images/M/MV5BZTcyN2Y0MDYtMGI1NC00MWQ1LWFhZGMtN2U4NTcxZGYyNjljXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
Oldboy,2003,2h,R,8.3,"https://m.media-amazon.com/images/M/MV5BMTAwNzNjYWItZmI0Ni00ZTcyLWIwNWMtZjlmNGMxZTEyYTJmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
3 Idiots,2009,2h 50m,PG-13,8.4,"https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3,"https://m.media-amazon.com/images/M/MV5BMjFjYzBlOTktMTI2OS00ZWVhLTgxMDUtNzAwODY2NmI3YTAzXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
American Beauty,1999,2h 2m,R,8.3,"https://m.media-amazon.com/images/M/MV5BMDI1MDE0OTMtMmI2MS00Yjc2LTg2MTItMWExYTg5NzA1OGUzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Capernaum,2018,2h 6m,R,8.4,"https://m.media-amazon.com/images/M/MV5BYzEyMzQ1OTktZTljZi00OWQzLWE2ZmUtZjQyNzBjYjE1NTc0XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg"
Singin' in the Rain,1952,1h 43m,G,8.3,"https://m.media-amazon.com/images/M/MV5BMGQzZDFjZWUtZDU4ZS00ZjM3LTgyYmItYjA3YmIwYzRkZWY3XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
Joker,2019,2h 2m,R,8.3,"https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Once Upon a Time in America,1984,3h 49m,R,8.3,"https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
Toy Story 3,2010,1h 43m,G,8.3,"https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_QL75_UY133_CR2,0,90,133_.jpg"
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3,"https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg"
Come and See,1985,2h 22m,Not Rated,8.3,"https://m.media-amazon.com/images/M/MV5BNDlkZmVkZDAtZGFmMS00OWIzLWJkY2YtNWE5NjNhNjhiZGE3XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg"
Requiem for a Dream,2000,1h 42m,NC-17,8.3,"https://m.media-amazon.com/images/M/MV5BN2ZlMjIzZjctYzA2My00ZWYyLWI4ZjctMGI2NWYyNzFiZjAwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
Ikiru,1952,2h 23m,Not Rated,8.3,"https://m.media-amazon.com/images/M/MV5BMmZiNzExNmUtODU5YS00MDE1LWI0YTItMzVmNjM1ZTQ5NGVhXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
The Hunt,2012,1h 55m,R,8.3,"https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_QL75_UY133_CR2,0,90,133_.jpg"
Incendies,2010,2h 11m,R,8.3,"https://m.media-amazon.com/images/M/MV5BYWFmMjdmNjctNzhhOC00ZmMzLTkwOGItMmVmZDU4MjE2MTYwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3,"https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_QL75_UX90_CR0,0,90,133_.jpg"
The Apartment,1960,2h 5m,Approved,8.3,"https://m.media-amazon.com/images/M/MV5BNDdhMzVhOWQtNDU2Mi00ZmZmLWJiZDMtY2QxMjhjY2Y1ZTI5XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg"
Lawrence of Arabia,1962,3h 47m,Approved,8.3,"https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg"
Heat,1995,2h 50m,R,8.3,"https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg"
Scarface,1983,2h 50m,R,8.3,"https://m.media-amazon.com/images/M/MV5BNDUzYjY0NmUtMDM4OS00Y2Q5LWJiODYtNTk0ZTk0YjZhMTg1XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg"
Reservoir Dogs,1992,1h 39m,R,8.2,"https://m.media-amazon.com/images/M/MV5BMmMzYjg4NDctYWY0Mi00OGViLWIzMTMtYWNlZGY5ZDJmYjk3XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
2001: A Space Odyssey,1968,2h 29m,G,8.3,"https://m.media-amazon.com/images/M/MV5BNjU0NDFkMTQtZWY5OS00MmZhLTg3Y2QtZmJhMzMzMWYyYjc2XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Up,2009,1h 36m,PG,8.3,"https://m.media-amazon.com/images/M/MV5BNmI1ZTc5MWMtMDYyOS00ZDc2LTkzOTAtNjQ4NWIxNjYyNDgzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
